episode,reward,score,steps,epsilon,loss
2001,-8.93,0,41,0.998,0.0
2002,-9.4875,0,42,0.9959,0.0
2003,-8.9183,0,37,0.994,0.0
2004,-8.9558,0,38,0.9921,0.0
2005,-9.0025,0,36,0.9903,0.0
2006,-9.81,0,38,0.9885,0.0
2007,-8.65,0,39,0.9865,0.0
2008,-9.7333,0,35,0.9848,0.0
2009,-8.9442,0,36,0.983,0.0
2010,-9.0383,0,35,0.9813,0.0
2011,-9.3492,0,35,0.9796,0.0
2012,-9.81,0,36,0.9778,0.0
2013,-9.87,0,35,0.9761,0.0
2014,-8.8325,0,40,0.9742,0.0
2015,-9.0433,0,36,0.9724,0.0
2016,-9.86,0,35,0.9707,0.0
2017,-8.9658,0,36,0.969,0.0
2018,-9.8,0,37,0.9672,0.0
2019,-8.9583,0,40,0.9653,0.0
2020,-9.4033,0,36,0.9635,0.0
2021,-8.975,0,36,0.9618,0.0
2022,-9.0167,0,36,0.9601,0.0
2023,-9.2633,0,35,0.9584,0.0
2024,-9.0192,0,38,0.9566,0.0
2025,-8.84,0,41,0.9546,0.0
2026,-9.0225,0,35,0.9529,0.0
2027,-8.85,0,38,0.9511,0.0
2028,-9.7317,0,38,0.9493,0.0
2029,-8.9267,0,38,0.9475,0.0
2030,-9.1833,0,36,0.9458,0.0
2031,-8.895,0,37,0.9441,0.0
2032,-9.81,0,36,0.9424,0.0
2033,-9.7225,0,36,0.9407,0.0
2034,-9.0467,0,36,0.939,0.0
2035,-9.8,0,37,0.9373,0.0
2036,-9.73,0,40,0.9354,0.0
2037,-9.8,0,36,0.9337,0.0
2038,-9.0475,0,37,0.932,0.0
2039,-8.9708,0,37,0.9303,0.0
2040,-9.79,0,37,0.9285,0.0
2041,-8.9758,0,37,0.9268,0.0
2042,-9.04,0,37,0.9251,0.0
2043,-8.9075,0,36,0.9234,0.0
2044,-9.0283,0,36,0.9218,0.0
2045,-9.0508,0,36,0.9201,0.0
2046,-8.755,0,43,0.9181,0.0
2047,-9.0,0,36,0.9165,0.0
2048,-9.79,0,39,0.9147,0.0
